network,address,milkyway_milk_balance,milkyway_milk_staking,osmosis_milk_balance,bsc_milk_balance
milkyway,milk107g38gjak3k5d7r85vykuwxmshd4vq2sjfw9wr,443,0,0,0
milkyway,milk107gltec09ddh7zs2huzsnulwq0fpc807lnwknw,10140000,0,0,0
milkyway,milk107j3cgxwkh5uxxwqhwfpp4h58ct57gyz93fl58,94843,0,0,0
milkyway,milk107jye99u0vwu0m8xt6yxxcnzemuqj78c52usj0,13276000,0,0,0
milkyway,milk107khss9wxt8vjnw8muyc60xpcxc8sf369uurfp,11063533,0,0,0
milkyway,milk107klp238tmjkhh5jnht7flueg38jqvp9l0a4x9,15417140,0,0,0
milkyway,milk107ltytsgavpatk824kgyawf8hue9v4az2pr7cw,380,0,0,0
milkyway,milk107m0k5xdlv5rqat5adjan72k9cwunm0dzrcf24,42233723,0,0,0
milkyway,milk107n5mm03l4h6vzvxl5a8c0ly5gucekht77yz8v,12584708,0,0,0
milkyway,milk107njfrheht9qs2gdp8hrd6ftd6t5ns2803892z,835319570,0,0,0
milkyway,milk107nn9la2gmu7u03y2qhp8mxz5tpjekhgzlhkk9,13530000,0,0,0
milkyway,milk107p5sl9zxq2zh2jkdp54ndhmpywcsklvuurtg3,47937,0,0,0
milkyway,milk107pd463pqyrg89duxlgt30gpph9saaefzrlu4f,0,0,0,0
milkyway,milk107q5vdcl27ywqfcvclgydpur3vwd64pfrmncf4,153537,0,0,0
milkyway,milk107qzf62qftnvkvgkqll3n3tg00pxw4pj7e6a7n,3807,0,0,0
milkyway,milk107r0ylq95jdantsxr2v376s3mu0ufh6gjpzpv7,384233835,0,0,0
milkyway,milk107s007zs49ecvz87azl8kt97tyl55w5m39t43l,216177,0,0,0
milkyway,milk107s0ne2kf004yzd8yjkx0a533ay6ytwrkd840p,0,0,0,0
milkyway,milk107s7ntglk205mxk7sy6ga35jdt5m6kgkygzxvk,721009,0,0,0
milkyway,milk107sgdlghavm2t3td5lvxkmmqxwm65mfx68jye6,0,0,0,0
milkyway,milk107uf2qchz40d9sqn553da8lpymcfc3cxg4mh6m,14210000,0,0,0
milkyway,milk107vdaj3c26vqxzca9me32kx2lg2yargx069lw9,96620,0,0,0
milkyway,milk107vwngdd4auchhfh54t3p7q4y3dkq3tcwcagp0,920761726,0,0,0
milkyway,milk107ygy4dk0dc7n4y90c3mfwjyavqd3g4wdgkvrg,162564000,0,0,0
milkyway,milk107yx9v0sfcl8dluaa9cm8wpjfu5f2rwgjl3qtn,58,0,0,0
milkyway,milk107z662fr9gy64l0nzkqddqqdgwxz60ll4qa6w9,31168000,0,0,0
milkyway,milk107zn3lhstgc4glyxeacwcg9zv084ma3tmnmsaa,1039038,0,0,0
milkyway,milk107zs64gzj5tquts9fltwc09qy5ws58q4m9trpy,5773128,0,0,0
milkyway,milk107zu0g0q47xxtyht5gqnsj3fym70r8hapjsy7l,605697,0,0,0
milkyway,milk108238rzhnaqegmnnsdxaxrmnws9d02yg7pmt6f,162712000,0,0,0
milkyway,milk1085gf2tvqhutqq0vdj9r62yhcck5yr00ht7wjs,1055096999,0,0,0
milkyway,milk1089asnnsqt4pkmk3axpn6qz0t6vxa2r2epym7c,0,0,0,0
milkyway,milk108c85ld7y0s984c2cem9pmfzt6qwra9w74zs8r,22202,0,0,0
milkyway,milk108f59xe554xxcaa76kn76v4ezm5qcvkmu5r86z,107300000,0,0,0
milkyway,milk108fq7uplydjzd9f5pcqmq4ae49dsrekjes53v3,246066,0,0,0
milkyway,milk108gk4c5jxhdpytkk67j8rhhku03wzpht3sh08t,74815999,0,0,0
milkyway,milk108gq0mcf36csae5ghu76mycjl3fjmu0ge698kw,348484697,0,0,0
milkyway,milk108kxra6vvm0q7e33tk9gqlrqxmw9uvvewlyp42,519,0,0,0
milkyway,milk108mr79hla3lxmqyqkuuw6felnlvg9m6yyaznlv,4493372,0,0,0
milkyway,milk108ncmtamzyjujlmpv93d7x7yn8e62zqmzlqcsr,15703999,0,0,0
milkyway,milk108qgn3w3rfp76ss20u3rmcky4m52pgarm3fkah,16804000,0,0,0
milkyway,milk108rvyvcs67quc5nuqh6w7t23cnxltrjcxzpt7h,3415999,0,0,0
milkyway,milk108srd9z6rpfzyc3278gy0elcxpmstw5uf3zk2j,482461,0,0,0
milkyway,milk108v9x9mluw0nj72gvkyteets7wddsnn38j7dvz,378759688,0,0,0
milkyway,milk108w46kthkwujkgs4z7mjdtd9rgn3grh3dvt2an,118503,0,0,0
milkyway,milk108wc8uassz4c4u9lnw5tftcrerh0s9lg8w4gul,482,0,0,0
milkyway,milk108wxsggfpmhncl5spumnv5ecl8zukzqc9zlkm0,0,0,0,0
milkyway,milk108xeg66rdxzcw2fkfmxcrt4594k6539c39q3av,114700144,0,0,0
milkyway,milk108zdtldyt6r98rlg6la6nvwczzxnh2mjajlj4g,0,0,0,0
milkyway,milk1092cch9ykkmlx9jrmwjrd0e0xqqpx4mgsljvr0,99886971,0,0,0
milkyway,milk1093jrve8tpac08qnxuymrxrkfqw4s7jh44msed,3475999,0,0,0
milkyway,milk1096g636vwu25pujuf7esws7ppgz4hte36vet5k,230468000,0,0,0
milkyway,milk1097ck45xluwg2ajt94cwmrllqq8hws5qtpynl9,6580000,0,0,0
milkyway,milk1097dhv49he8meq99lgvh2sz2t0e33qqv8dlhdu,432,0,0,0
milkyway,milk1097qsqrta3akyt9lh554yjyjq9qu0neeqyvzyw,502556,0,0,0
milkyway,milk1098np6f5nknwm7kauzjdswsqw6qv5pzelyxmtl,691714,0,0,0
milkyway,milk10998cg3kfqntrn83ex9cmdh6ngacdaq6fef74v,100000000,0,0,0
milkyway,milk109cm93e7cz7p4n3pnx5nyn45guzrz4x4uhlxvm,158833,0,0,0
milkyway,milk109d8nt6vn0y9cf8sw8dt8weazgc77dwdzh00g4,21699154,0,0,0
milkyway,milk109g9m896ce63rv29ld52clgh54ktzagwfhf4cl,56086000,0,0,0
milkyway,milk109jzrpavrck9k4q8ngqkvqkflc5as8muq46ewh,12154500,0,0,0
milkyway,milk109mgq43zl9c48kwp5m2epxa8cdav6he7yqc9ac,913234,0,0,0
milkyway,milk109n3mplxjrrc56k387zy6frxfsznu4ra5p7vsy,2367,0,0,0
milkyway,milk109sshexcr6dqnseh5v9w4qcpc0aclr7u8rkkfu,1194486,0,0,0
milkyway,milk109tlcg9886wdd6w36fxhja42m5kt8w98p8sm5g,6540000,0,0,0
milkyway,milk109uh2eq6sgpj0l3rmskdajw93lltk9f5nk4nz5,0,0,0,0
